tconst,titleType,primaryTitle,originalTitle,averageRating,numVotes,score,rank,ordering,nconst,category,job,characters
tt0114369,movie,Se7en,Se7en,8.6,1568196,1.34864856E7,14,8,nm0006290,composer,\N,\N
tt0114369,movie,Se7en,Se7en,8.6,1568196,1.34864856E7,14,1,nm0000151,actor,\N,"[\"Somerset\"]"
tt0114369,movie,Se7en,Se7en,8.6,1568196,1.34864856E7,14,9,nm0451787,cinematographer,director of photography,\N
tt0114369,movie,Se7en,Se7en,8.6,1568196,1.34864856E7,14,10,nm0290358,editor,\N,\N
tt0114369,movie,Se7en,Se7en,8.6,1568196,1.34864856E7,14,6,nm0138287,producer,producer,\N
tt0114369,movie,Se7en,Se7en,8.6,1568196,1.34864856E7,14,5,nm0000399,director,\N,\N
tt0114369,movie,Se7en,Se7en,8.6,1568196,1.34864856E7,14,7,nm0465745,producer,producer,\N
tt0114369,movie,Se7en,Se7en,8.6,1568196,1.34864856E7,14,4,nm0001825,actor,\N,"[\"Dead Man at 1st Crime Scene\"]"
tt0114369,movie,Se7en,Se7en,8.6,1568196,1.34864856E7,14,2,nm0000093,actor,\N,"[\"Mills\"]"
tt0114369,movie,Se7en,Se7en,8.6,1568196,1.34864856E7,14,3,nm0000228,actor,\N,"[\"John Doe\"]"
