tconst,titleType,primaryTitle,originalTitle,averageRating,numVotes,score,rank,ordering,nconst,category,job,characters
tt0102926,movie,The Silence of the Lambs,The Silence of the Lambs,8.6,1372433,1.1802923799999999E7,17,5,nm0001129,director,\N,\N
tt0102926,movie,The Silence of the Lambs,The Silence of the Lambs,8.6,1372433,1.1802923799999999E7,17,9,nm0768324,producer,producer,\N
tt0102926,movie,The Silence of the Lambs,The Silence of the Lambs,8.6,1372433,1.1802923799999999E7,17,3,nm0095029,actor,\N,"[\"FBI Instructor\"]"
tt0102926,movie,The Silence of the Lambs,The Silence of the Lambs,8.6,1372433,1.1802923799999999E7,17,1,nm0000149,actress,\N,"[\"Clarice Starling\"]"
tt0102926,movie,The Silence of the Lambs,The Silence of the Lambs,8.6,1372433,1.1802923799999999E7,17,2,nm0000164,actor,\N,"[\"Dr. Hannibal Lecter\"]"
tt0102926,movie,The Silence of the Lambs,The Silence of the Lambs,8.6,1372433,1.1802923799999999E7,17,4,nm0501435,actress,\N,"[\"Ardelia Mapp\"]"
tt0102926,movie,The Silence of the Lambs,The Silence of the Lambs,8.6,1372433,1.1802923799999999E7,17,6,nm0365383,writer,based on the novel by,\N
tt0102926,movie,The Silence of the Lambs,The Silence of the Lambs,8.6,1372433,1.1802923799999999E7,17,8,nm0102508,producer,producer,\N
tt0102926,movie,The Silence of the Lambs,The Silence of the Lambs,8.6,1372433,1.1802923799999999E7,17,7,nm0848217,writer,screenplay by,\N
tt0102926,movie,The Silence of the Lambs,The Silence of the Lambs,8.6,1372433,1.1802923799999999E7,17,10,nm0882588,producer,producer,\N
