tconst,titleType,primaryTitle,originalTitle,averageRating,numVotes,score,rank,ordering,nconst,category,job,characters
tt0133093,movie,The Matrix,The Matrix,8.7,1842995,1.6034056499999998E7,8,4,nm0915989,actor,\N,"[\"Agent Smith\"]"
tt0133093,movie,The Matrix,The Matrix,8.7,1842995,1.6034056499999998E7,8,10,nm0821205,editor,\N,\N
tt0133093,movie,The Matrix,The Matrix,8.7,1842995,1.6034056499999998E7,8,1,nm0000206,actor,\N,"[\"Neo\"]"
tt0133093,movie,The Matrix,The Matrix,8.7,1842995,1.6034056499999998E7,8,2,nm0000401,actor,\N,"[\"Morpheus\"]"
tt0133093,movie,The Matrix,The Matrix,8.7,1842995,1.6034056499999998E7,8,3,nm0005251,actress,\N,"[\"Trinity\"]"
tt0133093,movie,The Matrix,The Matrix,8.7,1842995,1.6034056499999998E7,8,8,nm0204485,composer,\N,\N
tt0133093,movie,The Matrix,The Matrix,8.7,1842995,1.6034056499999998E7,8,5,nm0905154,director,\N,\N
tt0133093,movie,The Matrix,The Matrix,8.7,1842995,1.6034056499999998E7,8,6,nm0905152,director,\N,\N
tt0133093,movie,The Matrix,The Matrix,8.7,1842995,1.6034056499999998E7,8,9,nm0691084,cinematographer,director of photography,\N
tt0133093,movie,The Matrix,The Matrix,8.7,1842995,1.6034056499999998E7,8,7,nm0005428,producer,producer,\N
tt0167261,movie,The Lord of the Rings: The Two Towers,The Lord of the Rings: The Two Towers,8.8,1591415,1.4004452000000002E7,12,6,nm0866058,writer,"novel \"The Two Towers\"",\N
tt0167261,movie,The Lord of the Rings: The Two Towers,The Lord of the Rings: The Two Towers,8.8,1591415,1.4004452000000002E7,12,7,nm0909638,writer,screenplay,\N
tt0167261,movie,The Lord of the Rings: The Two Towers,The Lord of the Rings: The Two Towers,8.8,1591415,1.4004452000000002E7,12,10,nm8662749,producer,producer,\N
tt0167261,movie,The Lord of the Rings: The Two Towers,The Lord of the Rings: The Two Towers,8.8,1591415,1.4004452000000002E7,12,1,nm0000704,actor,\N,"[\"Frodo\"]"
tt0167261,movie,The Lord of the Rings: The Two Towers,The Lord of the Rings: The Two Towers,8.8,1591415,1.4004452000000002E7,12,3,nm0001557,actor,\N,"[\"Aragorn\"]"
tt0167261,movie,The Lord of the Rings: The Two Towers,The Lord of the Rings: The Two Towers,8.8,1591415,1.4004452000000002E7,12,2,nm0005212,actor,\N,"[\"Gandalf\"]"
tt0167261,movie,The Lord of the Rings: The Two Towers,The Lord of the Rings: The Two Towers,8.8,1591415,1.4004452000000002E7,12,9,nm0801728,writer,screenplay,\N
tt0167261,movie,The Lord of the Rings: The Two Towers,The Lord of the Rings: The Two Towers,8.8,1591415,1.4004452000000002E7,12,4,nm0089217,actor,\N,"[\"Legolas\"]"
tt0167261,movie,The Lord of the Rings: The Two Towers,The Lord of the Rings: The Two Towers,8.8,1591415,1.4004452000000002E7,12,5,nm0001392,director,\N,\N
tt0167261,movie,The Lord of the Rings: The Two Towers,The Lord of the Rings: The Two Towers,8.8,1591415,1.4004452000000002E7,12,8,nm0101991,writer,screenplay,\N
