tconst,titleType,primaryTitle,originalTitle,averageRating,numVotes,score,rank,ordering,nconst,category,job,characters
tt0137523,movie,Fight Club,Fight Club,8.8,2012963,1.7714074400000002E7,4,9,nm0149556,producer,producer,\N
tt0137523,movie,Fight Club,Fight Club,8.8,2012963,1.7714074400000002E7,4,1,nm0000093,actor,\N,"[\"Tyler Durden\"]"
tt0137523,movie,Fight Club,Fight Club,8.8,2012963,1.7714074400000002E7,4,10,nm0513165,producer,producer,\N
tt0137523,movie,Fight Club,Fight Club,8.8,2012963,1.7714074400000002E7,4,6,nm0657333,writer,based on the novel by,\N
tt0137523,movie,Fight Club,Fight Club,8.8,2012963,1.7714074400000002E7,4,5,nm0000399,director,\N,\N
tt0137523,movie,Fight Club,Fight Club,8.8,2012963,1.7714074400000002E7,4,7,nm0880243,writer,screenplay by,\N
tt0137523,movie,Fight Club,Fight Club,8.8,2012963,1.7714074400000002E7,4,2,nm0001570,actor,\N,"[\"Narrator\"]"
tt0137523,movie,Fight Club,Fight Club,8.8,2012963,1.7714074400000002E7,4,8,nm0068501,producer,producer,\N
tt0137523,movie,Fight Club,Fight Club,8.8,2012963,1.7714074400000002E7,4,3,nm0001533,actor,\N,"[\"Robert Paulsen\"]"
tt0137523,movie,Fight Club,Fight Club,8.8,2012963,1.7714074400000002E7,4,4,nm0340260,actor,\N,"[\"Richard Chesler (Regional Manager)\"]"
