tconst,titleType,primaryTitle,originalTitle,averageRating,numVotes,score,rank,ordering,nconst,category,job,characters
tt0109830,movie,Forrest Gump,Forrest Gump,8.8,1973232,1.73644416E7,6,8,nm0277704,producer,producer,\N
tt0109830,movie,Forrest Gump,Forrest Gump,8.8,1973232,1.73644416E7,6,6,nm0343165,writer,novel,\N
tt0109830,movie,Forrest Gump,Forrest Gump,8.8,1973232,1.73644416E7,6,2,nm0000705,actress,\N,"[\"Jenny Curran\"]"
tt0109830,movie,Forrest Gump,Forrest Gump,8.8,1973232,1.73644416E7,6,4,nm0000398,actress,\N,"[\"Mrs. Gump\"]"
tt0109830,movie,Forrest Gump,Forrest Gump,8.8,1973232,1.73644416E7,6,3,nm0000641,actor,\N,"[\"Lieutenant Dan Taylor\"]"
tt0109830,movie,Forrest Gump,Forrest Gump,8.8,1973232,1.73644416E7,6,1,nm0000158,actor,\N,"[\"Forrest Gump\"]"
tt0109830,movie,Forrest Gump,Forrest Gump,8.8,1973232,1.73644416E7,6,5,nm0000709,director,\N,\N
tt0109830,movie,Forrest Gump,Forrest Gump,8.8,1973232,1.73644416E7,6,10,nm0005494,producer,producer,\N
tt0109830,movie,Forrest Gump,Forrest Gump,8.8,1973232,1.73644416E7,6,7,nm0744839,writer,screenplay,\N
tt0109830,movie,Forrest Gump,Forrest Gump,8.8,1973232,1.73644416E7,6,9,nm0823330,producer,producer,\N
