tconst,titleType,primaryTitle,originalTitle,averageRating,numVotes,score,rank,ordering,nconst,category,job,characters
tt0120737,movie,The Lord of the Rings: The Fellowship of the Ring,The Lord of the Rings: The Fellowship of the Ring,8.9,1783376,1.58720464E7,9,4,nm0000293,actor,\N,"[\"Boromir\"]"
tt0120737,movie,The Lord of the Rings: The Fellowship of the Ring,The Lord of the Rings: The Fellowship of the Ring,8.9,1783376,1.58720464E7,9,10,nm0761744,producer,producer,\N
tt0120737,movie,The Lord of the Rings: The Fellowship of the Ring,The Lord of the Rings: The Fellowship of the Ring,8.9,1783376,1.58720464E7,9,6,nm0866058,writer,"novel \"The Fellowship of the Ring\"",\N
tt0120737,movie,The Lord of the Rings: The Fellowship of the Ring,The Lord of the Rings: The Fellowship of the Ring,8.9,1783376,1.58720464E7,9,7,nm0909638,writer,screenplay,\N
tt0120737,movie,The Lord of the Rings: The Fellowship of the Ring,The Lord of the Rings: The Fellowship of the Ring,8.9,1783376,1.58720464E7,9,3,nm0089217,actor,\N,"[\"Legolas\"]"
tt0120737,movie,The Lord of the Rings: The Fellowship of the Ring,The Lord of the Rings: The Fellowship of the Ring,8.9,1783376,1.58720464E7,9,8,nm0101991,writer,screenplay,\N
tt0120737,movie,The Lord of the Rings: The Fellowship of the Ring,The Lord of the Rings: The Fellowship of the Ring,8.9,1783376,1.58720464E7,9,2,nm0005212,actor,\N,"[\"Gandalf\"]"
tt0120737,movie,The Lord of the Rings: The Fellowship of the Ring,The Lord of the Rings: The Fellowship of the Ring,8.9,1783376,1.58720464E7,9,5,nm0001392,director,\N,\N
tt0120737,movie,The Lord of the Rings: The Fellowship of the Ring,The Lord of the Rings: The Fellowship of the Ring,8.9,1783376,1.58720464E7,9,9,nm0651614,producer,producer,\N
tt0120737,movie,The Lord of the Rings: The Fellowship of the Ring,The Lord of the Rings: The Fellowship of the Ring,8.9,1783376,1.58720464E7,9,1,nm0000704,actor,\N,"[\"Frodo\"]"
