tconst,titleType,primaryTitle,originalTitle,averageRating,numVotes,score,rank,ordering,nconst,category,job,characters
tt1853728,movie,Django Unchained,Django Unchained,8.5,1477955,1.25626175E7,15,5,nm0000233,director,\N,\N
tt1853728,movie,Django Unchained,Django Unchained,8.5,1477955,1.25626175E7,15,9,nm0724744,cinematographer,director of photography,\N
tt1853728,movie,Django Unchained,Django Unchained,8.5,1477955,1.25626175E7,15,6,nm0399737,producer,producer,\N
tt1853728,movie,Django Unchained,Django Unchained,8.5,1477955,1.25626175E7,15,3,nm0000138,actor,\N,"[\"Calvin Candie\"]"
tt1853728,movie,Django Unchained,Django Unchained,8.5,1477955,1.25626175E7,15,4,nm0913488,actress,\N,"[\"Broomhilda von Shaft\"]"
tt1853728,movie,Django Unchained,Django Unchained,8.5,1477955,1.25626175E7,15,1,nm0004937,actor,\N,"[\"Django\"]"
tt1853728,movie,Django Unchained,Django Unchained,8.5,1477955,1.25626175E7,15,8,nm0792049,producer,producer,\N
tt1853728,movie,Django Unchained,Django Unchained,8.5,1477955,1.25626175E7,15,2,nm0910607,actor,\N,"[\"Dr. King Schultz\"]"
tt1853728,movie,Django Unchained,Django Unchained,8.5,1477955,1.25626175E7,15,7,nm0767894,producer,producer,\N
tt1853728,movie,Django Unchained,Django Unchained,8.5,1477955,1.25626175E7,15,10,nm0711235,editor,\N,\N
