tconst,titleType,primaryTitle,originalTitle,averageRating,numVotes,score,rank,ordering,nconst,category,job,characters
tt0468569,movie,The Dark Knight,The Dark Knight,9.1,2514440,2.2881404E7,2,4,nm0000323,actor,\N,"[\"Alfred\"]"
tt0468569,movie,The Dark Knight,The Dark Knight,9.1,2514440,2.2881404E7,2,1,nm0000288,actor,\N,"[\"Bruce Wayne\"]"
tt0468569,movie,The Dark Knight,The Dark Knight,9.1,2514440,2.2881404E7,2,2,nm0005132,actor,\N,"[\"Joker\"]"
tt0468569,movie,The Dark Knight,The Dark Knight,9.1,2514440,2.2881404E7,2,3,nm0001173,actor,\N,"[\"Harvey Dent\"]"
tt0468569,movie,The Dark Knight,The Dark Knight,9.1,2514440,2.2881404E7,2,7,nm0275286,writer,story,\N
tt0468569,movie,The Dark Knight,The Dark Knight,9.1,2514440,2.2881404E7,2,5,nm0634240,director,\N,\N
tt0468569,movie,The Dark Knight,The Dark Knight,9.1,2514440,2.2881404E7,2,10,nm0746273,producer,producer,\N
tt0468569,movie,The Dark Knight,The Dark Knight,9.1,2514440,2.2881404E7,2,9,nm0650038,producer,producer,\N
tt0468569,movie,The Dark Knight,The Dark Knight,9.1,2514440,2.2881404E7,2,8,nm0004170,writer,characters,\N
tt0468569,movie,The Dark Knight,The Dark Knight,9.1,2514440,2.2881404E7,2,6,nm0634300,writer,screenplay,\N
